iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
LAO,2009,48415,28511700
LBR,2009,13356,6555797
LCA,2009,7,3932
LKA,2009,509,204856
MAF,2009,0,36
MDG,2009,34019,18697464
MDV,2009,1,22
MEX,2009,46684,19772990
MMR,2009,41647,25671863
MOZ,2009,444,217613
MSR,2009,3,1533
MTQ,2009,17,9256
MWI,2009,13,6713
MYS,2009,235835,218475774
NGA,2009,3924,1495266
NIC,2009,16023,9238728
NPL,2009,477,239216
PAN,2009,5559,3478137
PER,2009,120186,79620964
PHL,2009,6946,4743873
PLW,2009,13,11220
PNG,2009,23180,19437094
PRI,2009,58,33102
PRY,2009,49612,16708102
RWA,2009,13,8188
SEN,2009,0,70
SLB,2009,3126,2426125
SLE,2009,961,427707
SLV,2009,51,32317
SSD,2009,23,11789
SUR,2009,4227,3313834
SXM,2009,1,471
TCA,2009,51,9412
TGO,2009,1,246
THA,2009,13198,8048192
TTO,2009,119,72152
TWN,2009,3095,1863713
TZA,2009,938,451294
UGA,2009,2386,1309746
USA,2009,40,18704
VCT,2009,3,1541
VEN,2009,23435,13052011
VGB,2009,3,1317
VIR,2009,1,495
VNM,2009,46798,32321861
VUT,2009,825,476726
ZAF,2009,447,274436
ZMB,2009,1299,613140
ZWE,2009,19,11753
AGO,2010,5226,3002106
ARG,2010,31311,10894765
AUS,2010,2,859
BDI,2010,13,7734
BEN,2010,0,94
BES,2010,0,0
BGD,2010,235,120890
BHS,2010,5,981
BLZ,2010,4769,2197134
BOL,2010,267751,137826736
BRA,2010,1153025,724195155
BRN,2010,524,425199
BTN,2010,819,507094
CAF,2010,11148,7524922
CHN,2010,5128,2844653
CIV,2010,17374,8162421
CMR,2010,26815,15919514
COD,2010,265180,178125484
COG,2010,20598,13150662
COL,2010,68739,42609056
CRI,2010,1107,640550
CUB,2010,126,55984
CYM,2010,7,2047
DMA,2010,21,12167
DOM,2010,678,308713
ECU,2010,8491,6083175
ETH,2010,3455,2107021
FJI,2010,187,107924
GAB,2010,6237,3944622
GHA,2010,1648,746331
GIN,2010,333,162589
GLP,2010,11,6234
GNB,2010,139,44673
GNQ,2010,3212,1931888
GTM,2010,22750,11450632
GUF,2010,2428,1908708
GUY,2010,6656,4576136
HND,2010,21407,12020067
HTI,2010,13,5996
IDN,2010,540976,562382671
IND,2010,11361,6272262
JAM,2010,438,247029
KEN,2010,6749,3769290
